new entry "Interrupt_Counterspell_Sentinel"
type "InterruptData"
data "Cooldown" "OncePerCombat"
data "DisplayName" "4940F256757291133B3DE3392D318D8FA2FA2;1"
data "Description" "2809DB65C3AD359584650C0F966304F83DBA0;2"
data "DescriptionParams" "DealDamage(LevelMapValue(D4Cantrip),Radiant)"
data "Icon" "PassiveFeature_Counterspell"
data "InterruptContext" "OnSpellCast"
data "InterruptContextScope" "Nearby"
data "Container" "YesNoDecision"
data "Conditions" "not HasSpellCastBlocked(context.Observer) and IsAbleToReact(context.Observer) and not Self(context.Source, context.Observer) and Enemy(context.Source, context.Observer) and IsSpell() and not Uninterruptible() and not HasStringInSpellRoll('WeaponAttack') and not AnyEntityIsItem()"
data "Roll" "TryCounterspellHigherLevel(3)"
data "Success" "Counterspell();UseSpell(OBSERVER_SOURCE,Target_Counterspell_Success_Sentinel,true,true,true)"
data "Failure" "UseSpell(OBSERVER_SOURCE,Target_Counterspell_Failure,true,true,true)"
data "Cost" "ReactionActionPoint:1"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER')"
data "EnableContext" "OnStatusApplied"
