new entry "Shout_DefensiveStance_Sentinel"
type "SpellData"
data "SpellType" "Shout"
data "Cooldown" "OncePerCombat"
data "SpellProperties" "ApplyStatus(DEFENSIVE_STANCE_SENTINEL,100,2)"
data "TargetConditions" "Self()"
data "Icon" "Spell_Abjuration_ShieldOfFaith"
data "DisplayName" "E375AB0F2E0C23C5144473DCD05E310F06686;1"
data "Description" "DBCE67C308D01E0AE9498B9D98CB2AAABD5EC;1"
data "TooltipStatusApply" "ApplyStatus(DEFENSIVE_STANCE_SENTINEL,100,2)"
data "CastSound" "Spell_Cast_Buff_ShieldOfFaith_L1to3"
data "TargetSound" "Spell_Impact_Buff_ShieldOfFaith_L1to3"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;2f5d8e0b-35f3-416f-99e9-1cc9d942204e,,;f2ec369f-4a3b-451e-b954-2ab0a53d51d6,,"
data "VerbalIntent" "Buff"
data "SpellStyleGroup" "Class"
data "HitAnimationType" "MagicalNonDamage"
data "CastEffect" "1c5d1c5b-d8ff-42b5-8586-99aeaf901192"

